Season,Name,Team,Name,Team,Season,IP,Pitches,K%,NameASCII,PlayerId,MLBAMID
2003,"Ramon Ortiz","ANA","Ramon Ortiz","ANA",2003,180,3018,0.11547912,"Ramon Ortiz",27,150009
2003,"Aaron Sele","ANA","Aaron Sele","ANA",2003,121.2,2086,0.09584087,"Aaron Sele",34,121986
2003,"Scot Shields","ANA","Scot Shields","ANA",2003,148.1,2281,0.18226601,"Scot Shields",35,276912
2003,"Jarrod Washburn","ANA","Jarrod Washburn","ANA",2003,207.1,3232,0.1347032,"Jarrod Washburn",40,132220
2003,"Brian Anderson","- - -","Brian Anderson","- - -",2003,197.2,2969,0.10596833,"Brian Anderson",44,110230
2003,"Miguel Batista","ARI","Miguel Batista","ARI",2003,193.1,2875,0.17274939,"Miguel Batista",46,110683
2003,"Rick Helling","- - -","Rick Helling","- - -",2003,155,2625,0.14736842,"Rick Helling",58,115727
2003,"Randy Johnson","ARI","Randy Johnson","ARI",2003,114,1809,0.25562372,"Randy Johnson",60,116615
2003,"Byung-Hyun Kim","- - -","Byung-Hyun Kim","- - -",2003,122.1,1954,0.19729207,"Byung-Hyun Kim",61,218294
2003,"Curt Schilling","ARI","Curt Schilling","ARI",2003,168,2452,0.28826152,"Curt Schilling",73,121811
2003,"Tom Glavine","NYM","Tom Glavine","NYM",2003,183.1,2925,0.10366625,"Tom Glavine",90,114849
2003,"Greg Maddux","ATL","Greg Maddux","ATL",2003,218.1,2935,0.13762486,"Greg Maddux",104,118120
2003,"Kevin Millwood","PHI","Kevin Millwood","PHI",2003,222,3487,0.18172043,"Kevin Millwood",106,119154
2003,"Damian Moss","- - -","Damian Moss","- - -",2003,165.2,2796,0.10367454,"Damian Moss",107,150305
2003,"Horacio Ramirez","ATL","Horacio Ramirez","ATL",2003,182.1,2842,0.12804097,"Horacio Ramirez",110,400141
2003,"Pat Hentgen","BAL","Pat Hentgen","BAL",2003,160.2,2566,0.14792899,"Pat Hentgen",145,115797
2003,"Jason Johnson","BAL","Jason Johnson","BAL",2003,189.2,3237,0.13752914,"Jason Johnson",147,116595
2003,"Rodrigo Lopez","BAL","Rodrigo Lopez","BAL",2003,147,2484,0.15535445,"Rodrigo Lopez",150,150438
2003,"Sidney Ponson","- - -","Sidney Ponson","- - -",2003,216,3081,0.14922049,"Sidney Ponson",161,132260
2003,"John Burkett","BOS","John Burkett","BOS",2003,181.2,2882,0.13630573,"John Burkett",179,111734
2003,"Derek Lowe","BOS","Derek Lowe","BOS",2003,203.1,3137,0.1241535,"Derek Lowe",199,117955
2003,"Pedro Martínez","BOS","Pedro Martínez","BOS",2003,186.2,2831,0.27503338,"Pedro Martinez",200,118377
2003,"Darren Oliver","COL","Darren Oliver","COL",2003,180.1,2747,0.11195929,"Darren Oliver",206,119984
2003,"Tim Wakefield","BOS","Tim Wakefield","BOS",2003,202.1,3176,0.19380734,"Tim Wakefield",219,123801
2003,"Mark Buehrle","CHW","Mark Buehrle","CHW",2003,230.1,3498,0.12167689,"Mark Buehrle",225,279824
2003,"Jon Garland","CHW","Jon Garland","CHW",2003,191.2,3034,0.13284133,"Jon Garland",232,279782
2003,"Matt Clement","CHC","Matt Clement","CHC",2003,201.2,3148,0.20094007,"Matt Clement",271,136725
2003,"Mark Prior","CHC","Mark Prior","CHC",2003,211.1,3399,0.2838934,"Mark Prior",301,407578
2003,"Kerry Wood","CHC","Kerry Wood","CHC",2003,211,3542,0.29988726,"Kerry Wood",304,134268
2003,"Carlos Zambrano","CHC","Carlos Zambrano","CHC",2003,214,3404,0.18522602,"Carlos Zambrano",305,407296
2003,"Jim Brower","SFG","Jim Brower","SFG",2003,100,1541,0.15815085,"Jim Brower",313,150342
2003,"Elmer Dessens","ARI","Elmer Dessens","ARI",2003,175.2,2907,0.1446863,"Elmer Dessens",317,113296
2003,"Danny Graves","CIN","Danny Graves","CIN",2003,169,2481,0.08097166,"Danny Graves",326,115056
2003,"Bartolo Colon","CHW","Bartolo Colon","CHW",2003,242,3523,0.17581301,"Bartolo Colon",375,112526
2003,"CC Sabathia","CLE","CC Sabathia","CLE",2003,197.2,3144,0.16947115,"CC Sabathia",404,282332
2003,"Billy Traber","CLE","Billy Traber","CLE",2003,111.2,1861,0.1749503,"Billy Traber",410,407896
2003,"Jake Westbrook","CLE","Jake Westbrook","CLE",2003,133,2090,0.1,"Jake Westbrook",412,150414
2003,"Shawn Chacon","COL","Shawn Chacon","COL",2003,137,2205,0.15604027,"Shawn Chacon",424,276336
2003,"Mike Hampton","ATL","Mike Hampton","ATL",2003,190,2976,0.13365735,"Mike Hampton",430,115399
2003,"Jason Jennings","COL","Jason Jennings","COL",2003,181.1,3044,0.14512195,"Jason Jennings",434,407298
2003,"Jose Jimenez","COL","Jose Jimenez","COL",2003,101.2,1681,0.0955414,"Jose Jimenez",435,150455
2003,"John Thomson","TEX","John Thomson","TEX",2003,217,3334,0.14945055,"John Thomson",453,123307
2003,"Adam Bernero","- - -","Adam Bernero","- - -",2003,133.1,2164,0.13582343,"Adam Bernero",460,333293
2003,"Nate Cornejo","DET","Nate Cornejo","DET",2003,194.2,2985,0.05463183,"Nate Cornejo",462,407074
2003,"Mark Redman","FLA","Mark Redman","FLA",2003,190.2,3193,0.1882793,"Mark Redman",491,150230
